infill_type,wall_thickness,measurement,nominal_value,n_parts,mean_of_part_means
solid,4.0,length (in),4.349,4,5.1183499999999995
solid,4.0,thickness (in),0.125,4,0.1492
solid,4.0,width (in),0.25,4,0.2985416666666667
solid,4.0,mass (g),0.25,4,24.25
solid,6.0,length (in),4.349,4,5.122825
solid,6.0,thickness (in),0.125,4,0.1504
solid,6.0,width (in),0.25,4,0.3059166666666667
solid,6.0,mass (g),0.25,4,24.2705
solid,8.0,length (in),4.349,4,5.1205750000000005
solid,8.0,thickness (in),0.125,4,0.151225
solid,8.0,width (in),0.25,4,0.30745833333333333
solid,8.0,mass (g),0.25,4,24.33
gyroid,4.0,length (in),4.349,4,5.1132
gyroid,4.0,thickness (in),0.125,4,0.152725
gyroid,4.0,width (in),0.25,4,0.30633333333333335
gyroid,4.0,mass (g),0.25,4,15.787500000000001
gyroid,6.0,length (in),4.349,4,5.1143
gyroid,6.0,thickness (in),0.125,4,0.15392499999999998
gyroid,6.0,width (in),0.25,4,0.30591666666666667
gyroid,6.0,mass (g),0.25,4,17.19
gyroid,8.0,length (in),4.349,4,5.110625
gyroid,8.0,thickness (in),0.125,4,0.15410000000000001
gyroid,8.0,width (in),0.25,4,0.2985833333333333
gyroid,8.0,mass (g),0.25,4,18.78
triangular,4.0,length (in),4.349,4,5.107575000000001
triangular,4.0,thickness (in),0.125,4,0.15389999999999998
triangular,4.0,width (in),0.25,4,0.29766666666666663
triangular,4.0,mass (g),0.25,4,15.966000000000001
triangular,6.0,length (in),4.349,4,5.1104
triangular,6.0,thickness (in),0.125,4,0.15555000000000002
triangular,6.0,width (in),0.25,4,0.2999166666666666
triangular,6.0,mass (g),0.25,4,17.5
triangular,8.0,length (in),4.349,4,5.11345
triangular,8.0,thickness (in),0.125,4,0.153575
triangular,8.0,width (in),0.25,4,0.3072916666666667
triangular,8.0,mass (g),0.25,4,18.728
